Team 1,Team 2,4s,6s,Unnamed: 4,Winner,Ground,Match Date,Scorecard
Afghanistan,Ireland,61,18,,Afghanistan,Greater Noida,17 Mar 2017,ODI # 3851
India,Sri Lanka,56,18,,India,Mohali,13 Dec 2017,ODI # 3941
Australia,South Africa,50,18,,South Africa,Hobart,11 Nov 2018,ODI # 4069
West Indies,England,36,18,,West Indies,Bridgetown,22 Feb 2019,ODI # 4097
West Indies,India,43,18,,India,Port of Spain,14 Aug 2019,ODI # 4199
Oman,Namibia,53,18,,Namibia,Al Amerat,8 Jan 2020,ODI # 4227
Australia,India,57,18,,Australia,Sydney,27 Nov 2020,ODI # 4265
India,England,52,18,,India,Pune,23 Mar 2021,ODI # 4281
India,England,61,18,,India,Pune,28 Mar 2021,ODI # 4284
Pakistan,Australia,56,18,,Pakistan,Lahore,31 Mar 2022,ODI # 4380
West Indies,India,49,18,,India,Port of Spain,22 Jul 2022,ODI # 4436
New Zealand,India,59,18,,New Zealand,Auckland,25 Nov 2022,ODI # 4483
Netherlands,West Indies,75,18,,tied,Harare,26 Jun 2023,ODI # 4602
Afghanistan,Sri Lanka,53,18,,Sri Lanka,Lahore,5 Sep 2023,ODI # 4633
South Africa,Pakistan,62,17,,South Africa,Centurion,4 Feb 2007,ODI # 2506
Australia,South Africa,72,17,,Australia,Basseterre,24 Mar 2007,ODI # 2552
Zimbabwe,South Africa,55,17,,South Africa,Harare,26 Aug 2007,ODI # 2615
New Zealand,England,58,17,,tied,Napier,20 Feb 2008,ODI # 2682
Bangladesh,Australia,40,17,,Australia,Mirpur,11 Apr 2011,ODI # 3150
Afghanistan,Netherlands,39,17,,Afghanistan,Sharjah,31 Mar 2012,ODI # 3271
Pakistan,Sri Lanka,44,17,,Pakistan,Sharjah,22 Dec 2013,ODI # 3447
New Zealand,India,55,17,,New Zealand,Hamilton,28 Jan 2014,ODI # 3465
Australia,Afghanistan,42,17,,Australia,Perth,4 Mar 2015,ODI # 3623
Pakistan,Zimbabwe,67,17,,Pakistan,Lahore,26 May 2015,ODI # 3651
New Zealand,Pakistan,49,17,,New Zealand,Auckland,31 Jan 2016,ODI # 3730
New Zealand,Australia,43,17,,New Zealand,Auckland,3 Feb 2016,ODI # 3731
South Africa,England,61,17,,South Africa,Centurion,9 Feb 2016,ODI # 3736
West Indies,Australia,34,17,,West Indies,Basseterre,13 Jun 2016,ODI # 3745
England,West Indies,58,17,,England,The Oval,27 Sep 2017,ODI # 3916
New Zealand,Pakistan,43,17,,New Zealand,Hamilton,16 Jan 2018,ODI # 3953
Afghanistan,Zimbabwe,40,17,,Afghanistan,Sharjah,9 Feb 2018,ODI # 3972
Bangladesh,Zimbabwe,36,17,,Bangladesh,Mirpur,21 Oct 2018,ODI # 4057
India,West Indies,55,17,,tied,Visakhapatnam,24 Oct 2018,ODI # 4059
Bangladesh,West Indies,52,17,,Bangladesh,Taunton,17 Jun 2019,ODI # 4162
New Zealand,West Indies,50,17,,New Zealand,Manchester,22 Jun 2019,ODI # 4170
Afghanistan,West Indies,52,17,,West Indies,Leeds,4 Jul 2019,ODI # 4184
Afghanistan,West Indies,35,17,,West Indies,Lucknow,11 Nov 2019,ODI # 4215
South Africa,Pakistan,48,17,,Pakistan,Centurion,7 Apr 2021,ODI # 4287
Bangladesh,India,40,17,,Bangladesh,Mirpur,7 Dec 2022,ODI # 4496
Nepal,Scotland,44,17,,Nepal,Kirtipur,17 Feb 2023,ODI # 4517
India,Bangladesh,41,17,,India,Pune,19 Oct 2023,ODI # 4674
West Indies,Zimbabwe,40,16,,West Indies,Singapore,2 Sep 1999,ODI # 1492
Zimbabwe,Pakistan,45,16,,Pakistan,Bulawayo,24 Nov 2002,ODI # 1901
India,Pakistan,62,16,,India,Visakhapatnam,5 Apr 2005,ODI # 2236
South Africa,Zimbabwe,56,16,,South Africa,Potchefstroom,20 Sep 2006,ODI # 2420
India,West Indies,67,16,,India,Nagpur,21 Jan 2007,ODI # 2480
Ireland,Scotland,43,16,,Scotland,Nairobi (Gym),30 Jan 2007,ODI # 2492
Kenya,New Zealand,36,16,,New Zealand,Gros Islet,20 Mar 2007,ODI # 2544
India,Australia,37,16,,Australia,Kochi,2 Oct 2007,ODI # 2623
Zimbabwe,Bangladesh,40,16,,Bangladesh,Bulawayo,16 Aug 2009,ODI # 2873
Australia,West Indies,35,16,,Australia,Melbourne,19 Feb 2010,ODI # 2960
India,South Africa,52,16,,South Africa,Ahmedabad,27 Feb 2010,ODI # 2963
West Indies,New Zealand,39,16,,West Indies,Kingston,7 Jul 2012,ODI # 3285
West Indies,Zimbabwe,34,16,,West Indies,St George's,24 Feb 2013,ODI # 3339
Zimbabwe,Australia,42,16,,Australia,Harare,25 Aug 2014,ODI # 3513
India,Sri Lanka,76,16,,India,Eden Gardens,13 Nov 2014,ODI # 3544
South Africa,West Indies,42,16,,South Africa,Sydney,27 Feb 2015,ODI # 3616
Bangladesh,Scotland,58,16,,Bangladesh,Nelson,5 Mar 2015,ODI # 3624
India,Ireland,46,16,,India,Hamilton,10 Mar 2015,ODI # 3631
